============================================================
Brain-to-Text Transformer Training
============================================================
PyTorch version: 2.1.0+cu121
CUDA available: True
CUDA version: 12.1
GPU: NVIDIA GeForce RTX 3080
============================================================

Configuration:
  data_dir: /data/t15_copyTask_neuralData/hdf5_data_final
  output_dir: /outputs/exp04_d768_b2_20251128_043602
  max_days: 45
  d_model: 768
  epochs: 30
  batch_size: 2
  lr: 0.0001
  num_workers: 2
  warmup_epochs: 2
  patience: 10
  min_delta: 0.001
  resume: False
  cuda: True
  log_interval: 40
  save_interval: 1
============================================================
Using CUDA: NVIDIA GeForce RTX 3080
CUDA Memory: 10.74 GB
TF32 enabled for faster matrix operations
TensorBoard logs: /outputs/exp04_d768_b2_20251128_043602/tensorboard

Loading data from: /data/t15_copyTask_neuralData/hdf5_data_final
Loaded 8072 trials from 45 days (train)

Label distribution (train):
  0 (BLANK): 3821756 (94.7%)
  1 (AA): 3403 (0.1%)
  2 (AE): 4373 (0.1%)
  3 (AH): 12662 (0.3%)
  4 (AO): 2341 (0.1%)
  5 (AW): 1316 (0.0%)
  6 (AY): 5337 (0.1%)
  7 (B): 2593 (0.1%)
  8 (CH): 736 (0.0%)
  9 (D): 6260 (0.2%)
  ... (41 unique labels total)
Found 41 validation files (some sessions may not have val data)
Loaded 1426 trials from 41 days (val)

Label distribution (val):
  0 (BLANK): 671608 (94.2%)
  1 (AA): 661 (0.1%)
  2 (AE): 772 (0.1%)
  3 (AH): 2705 (0.4%)
  4 (AO): 544 (0.1%)
  5 (AW): 226 (0.0%)
  6 (AY): 809 (0.1%)
  7 (B): 468 (0.1%)
  8 (CH): 167 (0.0%)
  9 (D): 1274 (0.2%)
  ... (41 unique labels total)

Creating model with d_model=768, 45 days
/usr/local/lib/python3.10/dist-packages/torch/nn/modules/transformer.py:282: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
Applied Xavier initialization to all layers
Total parameters: 66,653,225
Trainable parameters: 66,653,225
LR Scheduler: 8072 warmup steps, 121080 total steps
Early stopping: patience=10, min_delta=0.001

Starting training for 30 epochs...
============================================================
Epoch 1/30 | Batch 0/4036 | Loss: 3.7794 | LR: 0.00e+00
Epoch 1/30 | Batch 40/4036 | Loss: 1.7470 | LR: 4.96e-07
Epoch 1/30 | Batch 80/4036 | Loss: 1.0920 | LR: 9.91e-07
Epoch 1/30 | Batch 120/4036 | Loss: 0.8059 | LR: 1.49e-06
Epoch 1/30 | Batch 160/4036 | Loss: 0.8107 | LR: 1.98e-06
Epoch 1/30 | Batch 200/4036 | Loss: 0.8468 | LR: 2.48e-06
Epoch 1/30 | Batch 240/4036 | Loss: 0.8755 | LR: 2.97e-06
Epoch 1/30 | Batch 280/4036 | Loss: 0.7983 | LR: 3.47e-06
Epoch 1/30 | Batch 320/4036 | Loss: 0.8459 | LR: 3.96e-06
Epoch 1/30 | Batch 360/4036 | Loss: 0.8181 | LR: 4.46e-06
Epoch 1/30 | Batch 400/4036 | Loss: 0.8523 | LR: 4.96e-06
Epoch 1/30 | Batch 440/4036 | Loss: 0.8497 | LR: 5.45e-06
Epoch 1/30 | Batch 480/4036 | Loss: 0.8294 | LR: 5.95e-06
Epoch 1/30 | Batch 520/4036 | Loss: 0.7919 | LR: 6.44e-06
Epoch 1/30 | Batch 560/4036 | Loss: 0.8162 | LR: 6.94e-06
Epoch 1/30 | Batch 600/4036 | Loss: 0.7904 | LR: 7.43e-06
Epoch 1/30 | Batch 640/4036 | Loss: 0.7836 | LR: 7.93e-06
Epoch 1/30 | Batch 680/4036 | Loss: 0.7868 | LR: 8.42e-06
Epoch 1/30 | Batch 720/4036 | Loss: 0.8282 | LR: 8.92e-06
Epoch 1/30 | Batch 760/4036 | Loss: 0.7710 | LR: 9.42e-06
Epoch 1/30 | Batch 800/4036 | Loss: 0.8036 | LR: 9.91e-06
Epoch 1/30 | Batch 840/4036 | Loss: 0.7346 | LR: 1.04e-05
Epoch 1/30 | Batch 880/4036 | Loss: 0.8038 | LR: 1.09e-05
Epoch 1/30 | Batch 920/4036 | Loss: 0.7529 | LR: 1.14e-05
Epoch 1/30 | Batch 960/4036 | Loss: 0.7764 | LR: 1.19e-05
Epoch 1/30 | Batch 1000/4036 | Loss: 0.7423 | LR: 1.24e-05
Epoch 1/30 | Batch 1040/4036 | Loss: 0.7447 | LR: 1.29e-05
Epoch 1/30 | Batch 1080/4036 | Loss: 0.8123 | LR: 1.34e-05
Epoch 1/30 | Batch 1120/4036 | Loss: 0.7513 | LR: 1.39e-05
Epoch 1/30 | Batch 1160/4036 | Loss: 0.8192 | LR: 1.44e-05
Epoch 1/30 | Batch 1200/4036 | Loss: 0.7406 | LR: 1.49e-05
Epoch 1/30 | Batch 1240/4036 | Loss: 0.7607 | LR: 1.54e-05
Epoch 1/30 | Batch 1280/4036 | Loss: 0.7909 | LR: 1.59e-05
Epoch 1/30 | Batch 1320/4036 | Loss: 0.7645 | LR: 1.64e-05
Epoch 1/30 | Batch 1360/4036 | Loss: 0.7648 | LR: 1.68e-05
Epoch 1/30 | Batch 1400/4036 | Loss: 0.7641 | LR: 1.73e-05
Epoch 1/30 | Batch 1440/4036 | Loss: 0.7302 | LR: 1.78e-05
Epoch 1/30 | Batch 1480/4036 | Loss: 0.7666 | LR: 1.83e-05
Epoch 1/30 | Batch 1520/4036 | Loss: 0.7817 | LR: 1.88e-05
Epoch 1/30 | Batch 1560/4036 | Loss: 0.7639 | LR: 1.93e-05
Epoch 1/30 | Batch 1600/4036 | Loss: 0.8234 | LR: 1.98e-05
Epoch 1/30 | Batch 1640/4036 | Loss: 0.7835 | LR: 2.03e-05
Epoch 1/30 | Batch 1680/4036 | Loss: 0.7594 | LR: 2.08e-05
Epoch 1/30 | Batch 1720/4036 | Loss: 0.7579 | LR: 2.13e-05
Epoch 1/30 | Batch 1760/4036 | Loss: 0.7447 | LR: 2.18e-05
Epoch 1/30 | Batch 1800/4036 | Loss: 0.8083 | LR: 2.23e-05
Epoch 1/30 | Batch 1840/4036 | Loss: 0.7214 | LR: 2.28e-05
Epoch 1/30 | Batch 1880/4036 | Loss: 0.8055 | LR: 2.33e-05
Epoch 1/30 | Batch 1920/4036 | Loss: 0.7577 | LR: 2.38e-05
Epoch 1/30 | Batch 1960/4036 | Loss: 0.7693 | LR: 2.43e-05
Epoch 1/30 | Batch 2000/4036 | Loss: 0.7292 | LR: 2.48e-05
Epoch 1/30 | Batch 2040/4036 | Loss: 0.7423 | LR: 2.53e-05
Epoch 1/30 | Batch 2080/4036 | Loss: 0.7310 | LR: 2.58e-05
Epoch 1/30 | Batch 2120/4036 | Loss: 0.7876 | LR: 2.63e-05
Epoch 1/30 | Batch 2160/4036 | Loss: 0.7500 | LR: 2.68e-05
Epoch 1/30 | Batch 2200/4036 | Loss: 0.7978 | LR: 2.73e-05
Epoch 1/30 | Batch 2240/4036 | Loss: 0.7709 | LR: 2.78e-05
Epoch 1/30 | Batch 2280/4036 | Loss: 0.7997 | LR: 2.82e-05
Epoch 1/30 | Batch 2320/4036 | Loss: 0.7432 | LR: 2.87e-05
Epoch 1/30 | Batch 2360/4036 | Loss: 0.7388 | LR: 2.92e-05
Epoch 1/30 | Batch 2400/4036 | Loss: 0.8026 | LR: 2.97e-05
Epoch 1/30 | Batch 2440/4036 | Loss: 0.7637 | LR: 3.02e-05
Epoch 1/30 | Batch 2480/4036 | Loss: 0.7626 | LR: 3.07e-05
